sentence,isHedge
"Good day, ladies and gentlemen, and welcome to the Alphabet Fourth Quarter 2018 Earnings Call.",0
"(Operator Instructions) I'd now like to turn the conference over to Ellen West, Head of Investor Relations.",0
Please go ahead.,0
Thank you.,0
"Good afternoon, everyone, and welcome to Alphabet's Fourth Quarter 2018 Earnings Conference Call.",0
With us today are Ruth Porat and Sundar Pichai.,0
Now I'll quickly cover the safe harbor.,0
"Some of the statements that we make today regarding our business performance and operations and our expected level of capital expenditures may be considered forward looking, and such statements involve a number of risks and uncertainties that could cause actual results to differ materially.",1
"For more information, please refer to the risk factors discussed in our most recent Form 10-K filed with the SEC.",0
"During this call, we will present both GAAP and non-GAAP financial measures.",0
"A reconciliation of GAAP to non-GAAP measures is included in today's earnings press release, which is distributed and available to the public through our Investor Relations website located at abc.xyz/investor.",0
"And now, I'll turn the call over to Ruth.",0
"Thank you, Ellen.",0
"We had a strong 2018, with total revenues of $136.8 billion, up 23% over 2017, reflecting the benefit of our ongoing investments to deliver exceptional experiences for users, and compelling returns for our advertisers, partners and enterprise customers.",0
"For the fourth quarter, revenues of $39.3 billion were up 22% year-on-year and up 23% in constant currency as we continue to benefit from ongoing strength in mobile search, with important contributions from YouTube, cloud and desktop search.",0
"For today's call, I will begin with a review of results for the quarter on a consolidated basis for Alphabet focusing on year-over-year changes.",0
"I will then review results for Google, followed by Other Bets, and we'll conclude with our outlook.",0
"Sundar will then discuss business and product highlights, after which we will take your questions.",0
Let me start with the summary of Alphabet's consolidated financial performance for the quarter.,0
Our total revenues of $39.3 billion reflect a negative currency impact year-over-year of $724 million or $600 million after the impact of our hedging program.,0
Turning to Alphabet revenues by geography.,0
You can see that our performance was strong again in all regions.,0
"U.S. revenues were $18.7 billion, up 21% year-over-year.",0
"EMEA revenues were $12.4 billion, up 20% year-over-year in both reported and constant currency terms, with a slight headwind, primarily from the euro.",0
"APAC revenues were $6.1 billion, up 29% versus last year and up 32% in constant currency, reflecting weakness of the Australian dollar.",0
"Other Americas revenues were $2.2 billion, up 16% year-over-year and up 26% in constant currency, reflecting weakening of the Brazilian real and the Argentine peso.",0
"On a consolidated basis, total cost of revenues, including TAC, which I will discuss in the Google segment results, was $17.9 billion, up 26% year-on-year.",0
"Other cost of revenues on a consolidated basis was $10.5 billion, up 34% year-over-year, primarily driven by Google-related expenses.",0
"The key drivers were, first, content acquisition costs, primarily for YouTube, mostly for our advertising-supported content in what is a seasonally strong quarter for YouTube, but also for our newer subscription businesses, YouTube Premium and YouTube TV, which have higher CAC as a percentage of revenues.",0
"Second, cost associated with our data centers and other operations, including depreciation.",0
"And third, hardware-related costs for our Made by Google and Nest family of products.",0
"Operating expenses were $13.2 billion, up 27% year-over-year.",0
"The biggest increase was in R&D expenses, with the larger driver being headcount growth, followed by the accrual of compensation expenses to reflect increases in the valuation of equity in certain Other Bets.",0
"Growth in sales and marketing expenses reflect increases in sales and marketing headcount, primarily for cloud and ads, followed by advertising investments, mainly in search and the Assistant.",0
The growth in G&A expenses reflects mostly increases in headcount.,0
Stock-based compensation totaled $2.3 billion.,0
"Headcount at the end of the quarter was 98,771, up 4,399 from last quarter.",0
"Consistent with prior quarters, the majority of new hires were engineers and product managers.",0
"In terms of product areas, the most sizable headcount increases were in cloud for both technical and sales roles.",0
"Operating income was $8.2 billion, up 7% versus last year, for an operating margin of 21%.",0
"Other income and expense was $1.9 billion, which includes $1.3 billion of unrealized gain related to a nonmarketable debt security investment.",0
We provide more detail on these line items within OI&E in our earnings press release.,0
"Our effective tax rate was 11.2% for the fourth quarter, reflecting a discrete benefit due to the reversal of an accrual made as a result of updated guidance associated with the U.S. Tax Act.",0
Net income was $8.9 billion and earnings per diluted share were $12.77.,0
Turning now to CapEx and operating cash flow.,0
"Cash CapEx for the quarter was $7.1 billion, which I will discuss in the Google segment results.",0
Operating cash flow was $13 billion with free cash flow of $5.9 billion.,0
We ended the quarter with cash and marketable securities of approximately $109 billion.,1
Let me now turn to our segment financial results.,0
Starting with the Google segment.,0
"Revenues were $39.1 billion, up 22% year-over-year.",0
"In terms of the revenue detail, Google Sites revenues were $27 billion in the quarter, up 22% year-over-year.",0
"In terms of dollar growth, results were led again by mobile search, with a strong contribution from YouTube, followed by desktop search.",0
"Network revenues were $5.6 billion, up 12% year-on-year, reflecting the ongoing momentum of AdMob and Google Ad Manager.",0
"Other revenues for Google were $6.5 billion, up 31% year-over-year, fueled by Cloud, Hardware and Play.",0
We continue to provide monetization metrics in our earnings press release to give you a sense of the price and volume dynamics of our advertising businesses.,0
Total traffic acquisition costs were $7.4 billion or 23% of total advertising revenues and up 15% year-over-year.,0
"Total TAC, as a percentage of total advertising revenues, was down year-over-year, primarily reflecting a favorable revenue mix shift from network to sites.",0
"The increase in the site's TAC rate year-over-year was driven by the ongoing shift to mobile, which carries higher TAC, followed by changes in partner agreements, offset by the seasonally higher proportion of YouTube advertising revenues in the fourth quarter.",0
"In Q4, the network TAC rate declined year-on-year, primarily due to a revenue mix shift within our programmatic business.",0
