sentence,isHedge
Thank you.,0
"Good afternoon, and thanks to everyone for joining us today.",0
"Speaking first is Apple's CEO, Tim Cook, and he'll be followed by CFO, Luca Maestri.",0
"After that, we'll open the call to questions from analysts.",0
"Please note that some of the information you'll hear during our discussion will consist of forward-looking statements, including without limitation, those regarding revenue, growth margins, operating expenses, other income and expense, taxes, future business outlook, and plans for capital return and debt issuance.",1
Actual results or trends could differ materially from our forecast.,1
"For more information, please refer to the risk factors discussed in Apples Form 10-K for 2015, the Form 10-Q for the first quarter of FY16, and the Form 8-K filed with the SEC today, along with the Associated Press release.",0
"Apple assumes no obligation to update any forward-looking statements or information, which speak as of their respective date.",0
"In addition, today's comments will refer to a metric we describe as the purchase value of services tied to our installed base.",0
"This is a non-GAAP measure, and a reconciliation to the corresponding GAAP measure can be found on our investor relations website at Apple.com/investor.",0
I'd now like to turn the call over to Tim for introductory remarks.,0
"Thanks, Nancy, and good afternoon, everyone, and thank you for joining us.",0
"Today, we're reporting the results of a very busy and challenging quarter, and we're also announcing an update to our capital return program.",0
"Revenue for the quarter was $50.6 billion, which was within our guidance range.",0
"Despite the pause in our growth, our results reflect excellent execution by our team in the face of ongoing macroeconomic headwinds in much of the world, and difficult year-over-year comparisons.",1
We saw continued currency weakness in the vast majority of our international markets.,0
"In constant currency, our revenue declined by 9% from last year, 400 basis points less than the reported decline of 13%.",0
"For the first half of the fiscal year, our revenue in constant currency was up 1% year-on-year.",0
"Despite challenges, there were a number of encouraging signs during the quarter.",1
Our installed base of over 1 billion active devices continued to grow strongly.,0
"We added a huge number of Android switchers and new-to-Mac customers, and we generated very strong growth from services.",0
"We sold 51.2 million iPhones in the quarter, consistent with the range of our own expectations, but lower than the exceptional year-ago quarter, when we saw an acceleration in iPhone upgrades, and 40% iPhone sales growth over the previous year.",0
"To provide some additional color, iPhone sales come from three sources: Customers who upgrade from previous iPhone models, customers who switch from Android and other operating systems, and customers who purchase a smart phone for the first time.",0
"As we look at each of these three sources of iPhone sales, we see a business that is healthy and strong.",0
"First, from an upgrade perspective, during the first half of this year, the upgrade rate for the iPhone 6s cycle has been slightly higher than what we experienced in the iPhone 5s cycle two years ago, but it is lower than the accelerated upgrade rate we saw with iPhone 6, which as you know, was a big contributor to our phenomenal revenue growth a year ago.",0
"Most importantly, our customers are incredibly loyal.",0
"A recent Kantar survey of US smart phone purchasers indicated a 95% iPhone loyalty rate, the highest ever measured for any smart phone.",0
"Second, we continued to see a very high level of customers switching to iPhone from Android and other operating systems.",0
"In fact, we added more switchers from Android and other platforms in the first half of this year than any other six-month period ever.",0
"And third, with only 42% smart phone penetration of the global handset market today, iPhone is still attracting millions of first-time smart phone buyers each quarter, especially from emerging markets.",0
"For example, in India, our iPhone sales were up 56% from a year ago.",0
"Next, I'd like to talk about services, which was our second-largest revenue generating category during the quarter.",0
"Setting aside the amount we received from a patent settlement in the December quarter, the March quarter services revenue was our highest ever.",0
Services revenue jumped 20% to $6 billion.,0
"App Store revenue was up 35% to beat last quarter's all-time record, and Apple Music continues to grow in popularity with over 13 million paying subscribers today.",0
"We feel really great about the early success of Apple's first subscription business, and our Music revenue has now hit an inflection point after many quarters of decline.",1
"The services business is powered by our huge installed base of active device, which crossed 1 billion units earlier this year.",0
"As we discussed on this call in January, those 1 billion-plus active devices are a source of recurring revenue that is growing independent of the unit shipments we report every three months.",0
"In fact, the purchase value of services tied to our installed base was a record $9.9 billion in the March quarter, up 27% over last year, accelerating from the 24% growth rate we reported in the December quarter.",0
"The reach of Apple Pay also continues to expand, following a very successful launch in China in the March quarter, and last week's roll-out in Singapore.",0
"Apple Pay is growing at a tremendous rate, with more than 5 times the transaction volume of a year ago, and 1 million new users per week.",0
"There are more than 10 million contactless ready locations in the countries where Apple Pay has launched today, including over 2.5 million locations now accepting Apple Pay in the United States, and more expansion of Apple Pay is coming soon.",0
"Turning to the Mac, we met our sell-in expectations, in addition to reducing channel inventory by about 100,000 unites.",1
"Overall, the Mac continues to attract  a large percentage of new customers.",0
"In our latest survey of major markets, over half of buyers were new to the Mac, and in some countries, the percentage is extremely high, like in China, where over 80% of customers were purchasing a Mac for the first time.",0
"We're confident in our Mac business, and our ability to continue to innovate and gain share in that area.",1
"Turning to the Apple Watch, unit sales met our expectations in the quarter.",0
"For some color on how we think about Apple Watch sales, we expected seasonality to be similar to the historical seasonality of iPod, which typically generated 40% or more of its annual unit sell-through in the December  quarter.",1
"We started shipping Apple  Watch just one year ago, and it has quickly become the best-selling and most loved smart watch in the world.",0
"In fact, unit sales of Apple Watch during its first year exceeded sales of iPhone in its first year.",0
"Last month, we refreshed the lineup for the spring with new bands and a new starting price point, and the response from customers has been great.",0
"Apple Watch is an increasingly essential part of user's lives, from responding to messages, managing calendars and navigating with maps, to helping them  be more fit.",0
"And in some cases, the heart rate sensor has even helped save lives.",0
We're really excited about the first year with Apple Watch.,1
"We have learned a lot, and we believe it has an exciting future ahead.",1
We announced some fantastic new products during the March quarter.,0
"iPhone SE became available on March 31, so none of its sales were reflected in our second-quarter results, but so far this quarter, we're seeing terrific customer response.",0
"iPhone SE is the most powerful four-inch phone ever, and it's a great option for customers all over the world who want a compact phone with advanced features, and a great price, without compromising performance.",0
"Demand has been very strong, and exceeds supply at this point, but we're working hard to get the iPhone SE into the hands of every customer who wants one, as quickly as possible.",0
The addition of the iPhone SE in the iPhone lineup places us in a better strategic position to attract even more customers into our ecosystem.,1
"We also unveiled the stunning 9.7 inch iPad Pro, with cutting-edge performance and our most advanced display yet.",0
"The reviews of our new iPad Pros have been great, and we are hearing from customers of the features and capabilities in the new Pros make them both the ultimate upgrade for iPad owners, and a great PC replacement.",0
"In the June quarter, we expect to see our best iPad revenue compare in over two years.",1
"iPad is the best-selling, best-reviewed and  most used tablet on the market.",0
"Customers tell us that they love iPad for its unique mix of portability, capability, and versatility, with over 1 million iPad apps in the App Store to help them work, play, learn, and create.",0
"We also announced Care Kit, a new software framework that developers can use to help people take a more active role in their health, by keeping track of their care plans, monitoring their symptoms and medication, and delivering the insights they need to make smart decisions about their health.",0
We're very excited about the ways iPhone and Apple Watch are helping people lead healthier lives.,0
"We believe there's great promise here for the future, and we are very interested in where this can take us.",1
"As always, we are contributing to society beyond our products, promoting the use of renewable energy across our facilities and inside our supply chain, and developing cutting-edge technologies to revolutionize recycling in the materials we use.",0
"We are unwavering in our commitment to protect the security and privacy of our customers and their data, and we are actively promoting inclusion and equality across our business.",0
"As we continue through the June quarter, I'd like to remind you that we measure the health of customer demand based on sell-through.",0
"Despite ending Q2 within our channel inventory targets, in light of the macroeconomic environment we plan to lower our channel inventories in the June quarter.",0
This will impact our reported revenue in Q3.,0
Luca will provide more details on this in his commentary.,0
"But before turning over the call to him, I will summarize by saying that the future of Apple is very bright.",1
Our product pipeline has amazing innovations in store.,1
We are very excited about bringing together developers for our four major platforms at our worldwide developers conference in June.,0
"We are forging ahead with important investments in research and development, in our infrastructure, and in our supply chain.",0
"We've made 15 acquisitions in the last four quarters to accelerate our product and services roadmaps, and we are always on the lookout for companies with great technology, talent, and strategic fit.",0
